	tt	loss	loss_rec	entropy_marginal	entropy_mean	loss_affine
229	2299	-0.241	0.013	2.735	0.615	0.015
230	2309	-0.242	0.013	2.739	0.612	0.014
231	2319	-0.242	0.013	2.737	0.611	0.015
232	2329	-0.242	0.013	2.737	0.606	0.015
233	2339	-0.242	0.013	2.735	0.6	0.016
234	2349	-0.242	0.013	2.735	0.597	0.015
235	2359	-0.242	0.013	2.738	0.596	0.015
236	2369	-0.242	0.013	2.738	0.591	0.016
237	2379	-0.243	0.013	2.735	0.581	0.015
238	2389	-0.243	0.013	2.74	0.584	0.015
239	2399	-0.243	0.013	2.737	0.581	0.016
240	2409	-0.243	0.013	2.739	0.58	0.016
241	2419	-0.243	0.013	2.737	0.575	0.015
242	2429	-0.243	0.013	2.738	0.571	0.015
243	2439	-0.243	0.013	2.738	0.566	0.016
244	2449	-0.243	0.013	2.736	0.566	0.016
245	2459	-0.244	0.013	2.738	0.558	0.015
246	2469	-0.243	0.013	2.737	0.557	0.016
247	2479	-0.244	0.013	2.736	0.55	0.016
248	2489	-0.244	0.013	2.736	0.549	0.016
249	2499	-0.244	0.013	2.735	0.542	0.016
250	2509	-0.244	0.013	2.736	0.54	0.016
251	2519	-0.244	0.013	2.736	0.535	0.016
252	2529	-0.244	0.013	2.737	0.533	0.015
253	2539	-0.244	0.013	2.738	0.532	0.016
254	2549	-0.244	0.013	2.735	0.53	0.016
255	2559	-0.244	0.013	2.736	0.528	0.016
256	2569	-0.245	0.013	2.737	0.518	0.015
257	2579	-0.245	0.013	2.736	0.518	0.016
258	2589	-0.245	0.013	2.734	0.515	0.017
259	2599	-0.245	0.013	2.737	0.512	0.016
260	2609	-0.245	0.013	2.737	0.509	0.017
261	2619	-0.245	0.013	2.738	0.507	0.017
262	2629	-0.245	0.013	2.735	0.503	0.016
263	2639	-0.245	0.013	2.736	0.494	0.016
264	2649	-0.245	0.013	2.735	0.495	0.016
265	2659	-0.246	0.013	2.736	0.49	0.015
266	2669	-0.245	0.013	2.735	0.49	0.017
267	2679	-0.245	0.013	2.735	0.491	0.017
268	2689	-0.246	0.013	2.735	0.486	0.017
269	2699	-0.246	0.013	2.736	0.481	0.017
270	2709	-0.246	0.013	2.737	0.48	0.017
271	2719	-0.246	0.013	2.734	0.473	0.017
272	2729	-0.246	0.013	2.737	0.473	0.017
273	2739	-0.247	0.013	2.739	0.469	0.016
274	2749	-0.247	0.013	2.736	0.462	0.016
275	2759	-0.246	0.013	2.735	0.463	0.016
276	2769	-0.247	0.013	2.738	0.463	0.017
277	2779	-0.247	0.013	2.736	0.459	0.017
278	2789	-0.247	0.013	2.738	0.454	0.017
279	2799	-0.247	0.013	2.734	0.452	0.017
280	2809	-0.247	0.013	2.735	0.452	0.017
281	2819	-0.247	0.013	2.737	0.449	0.017
282	2829	-0.247	0.013	2.736	0.445	0.017
283	2839	-0.247	0.013	2.736	0.446	0.019
284	2849	-0.247	0.013	2.737	0.438	0.018
285	2859	-0.247	0.013	2.737	0.438	0.017
286	2869	-0.247	0.013	2.735	0.43	0.017
287	2879	-0.247	0.013	2.735	0.43	0.018
288	2889	-0.247	0.013	2.736	0.43	0.018
289	2899	-0.248	0.013	2.737	0.423	0.017
290	2909	-0.248	0.013	2.737	0.423	0.018
291	2919	-0.248	0.013	2.737	0.421	0.018
292	2929	-0.248	0.013	2.736	0.417	0.018
293	2939	-0.248	0.013	2.735	0.415	0.017
294	2949	-0.248	0.013	2.734	0.411	0.018
295	2959	-0.248	0.013	2.736	0.411	0.018
296	2969	-0.248	0.013	2.737	0.406	0.018
297	2979	-0.248	0.013	2.734	0.405	0.018
298	2989	-0.248	0.013	2.736	0.405	0.018
299	2999	-0.248	0.013	2.735	0.399	0.019
300	3009	-0.248	0.013	2.735	0.396	0.018
301	3019	-0.249	0.013	2.737	0.395	0.018
302	3029	-0.249	0.013	2.736	0.395	0.018
303	3039	-0.249	0.013	2.737	0.39	0.018
304	3049	-0.249	0.013	2.735	0.391	0.019
305	3059	-0.249	0.013	2.735	0.389	0.019
306	3069	-0.249	0.013	2.736	0.385	0.018
307	3079	-0.249	0.013	2.735	0.379	0.019
308	3089	-0.249	0.013	2.736	0.379	0.017
309	3099	-0.249	0.013	2.736	0.379	0.019
310	3109	-0.249	0.013	2.737	0.373	0.019
311	3119	-0.249	0.013	2.736	0.376	0.019
312	3129	-0.249	0.013	2.737	0.369	0.019
313	3139	-0.249	0.013	2.736	0.371	0.018
314	3149	-0.25	0.013	2.736	0.364	0.018
315	3159	-0.249	0.013	2.732	0.362	0.019
316	3169	-0.249	0.013	2.734	0.362	0.018
317	3179	-0.25	0.013	2.735	0.357	0.018
318	3189	-0.25	0.013	2.738	0.356	0.019
319	3199	-0.25	0.013	2.737	0.359	0.019
320	3209	-0.25	0.013	2.735	0.358	0.02
321	3219	-0.25	0.013	2.736	0.345	0.019
322	3229	-0.25	0.013	2.734	0.347	0.019
323	3239	-0.25	0.013	2.734	0.346	0.02
324	3249	-0.25	0.013	2.737	0.345	0.019
325	3259	-0.25	0.013	2.733	0.342	0.02
326	3269	-0.25	0.013	2.733	0.341	0.02
327	3279	-0.25	0.013	2.735	0.339	0.02
328	3289	-0.25	0.013	2.733	0.336	0.02
329	3299	-0.25	0.012	2.737	0.337	0.02
330	3309	-0.25	0.012	2.737	0.337	0.019
331	3319	-0.251	0.012	2.734	0.328	0.019
332	3329	-0.25	0.013	2.734	0.331	0.019
333	3339	-0.25	0.012	2.735	0.33	0.021
334	3349	-0.251	0.012	2.735	0.329	0.02
335	3359	-0.251	0.012	2.735	0.322	0.02
336	3369	-0.251	0.012	2.736	0.33	0.021
337	3379	-0.251	0.012	2.735	0.321	0.02
338	3389	-0.251	0.012	2.735	0.321	0.02
339	3399	-0.251	0.012	2.735	0.319	0.021
340	3409	-0.251	0.012	2.735	0.319	0.021
341	3419	-0.251	0.012	2.733	0.316	0.021
342	3429	-0.251	0.012	2.737	0.32	0.022
343	3439	-0.251	0.012	2.735	0.312	0.019
344	3449	-0.251	0.012	2.735	0.311	0.021
345	3459	-0.251	0.012	2.735	0.31	0.021
346	3469	-0.251	0.012	2.735	0.307	0.021
347	3479	-0.251	0.012	2.736	0.305	0.02
348	3489	-0.251	0.012	2.735	0.303	0.02
349	3499	-0.251	0.012	2.736	0.302	0.022
350	3509	-0.251	0.012	2.733	0.306	0.022
351	3519	-0.251	0.012	2.735	0.299	0.021
